node_id,status,one_liner,confidence,validation_status,introduced_by_commit,introduced_by_pr,notes
File:dags/src/customers_behavior.py,ATTACHED,**Summary:**,,PASS,06d80485b7a621184ec3d4e83a2836f2da6d3387,40,
File:gcpdeploy/src/customers_behavior.py,ATTACHED,**Purpose Summary:**,,PASS,6b8b21afaf18020f0ab29114baf4dd71ef36223c,54,
File:dags/src/customers_behavior.py,ATTACHED,**Summary:**,,PASS,06d80485b7a621184ec3d4e83a2836f2da6d3387,40,
File:test/test_customers_behavior.py,ATTACHED,**Summary:**,,PASS,7d57159c3fc69a9488da484767e9c34b8c8dd6a2,21,
Function:dags.src.anomaly_code_handler.handle_anomalous_codes,ATTACHED,**Purpose Summary:**,,PASS,f01c5123c9453c3f3972d88a874ee5cdc05c8f16,22,
File:dags/src/cancellation_details.py,ATTACHED,**Purpose**: Processes transaction data to calculate and store customer cancellation rates.,,PASS,06d80485b7a621184ec3d4e83a2836f2da6d3387,40,
File:dags/src/cleaning_description.py,ATTACHED,"**Purpose**: Cleans and standardizes a DataFrame by removing specific descriptions and converting text to uppercase, then saves it to a pickle file.",,PASS,06d80485b7a621184ec3d4e83a2836f2da6d3387,40,
Function:dags.src.correlation.correlation_check,ATTACHED,"**Purpose**: The `correlation_check` function calculates and visualizes the correlation matrix of a dataset, saving the results as an image and a parquet file.",,PASS,0ce21a710a9b6cd46eb330cf6cd75dc24436faa3,54,
Function:dags.src.correlation.save_heatmap,ATTACHED,"**Purpose Summary**: The `save_heatmap` function saves a heatmap figure as a PNG file to a specified path, handling file existence errors.",,PASS,0ce21a710a9b6cd46eb330cf6cd75dc24436faa3,54,
Function:dags.src.correlation.save_correlations_as_parquet,ATTACHED,**Purpose Summary**: The function `save_correlations_as_parquet` saves a correlation matrix to a specified file path in Parquet format.,,PASS,0ce21a710a9b6cd46eb330cf6cd75dc24436faa3,54,
